Date,Open,High,Low,Close,Volume,Adj Close
2013/10/14,185.41,186.99,184.42,186.97,2663100,184.96
2013/10/11,185.25,186.23,184.12,186.16,3232600,184.16
2013/10/10,183.17,184.77,182.36,184.77,3658900,182.78
2013/10/9,179.37,181.67,179.1,181.32,4423500,179.37
2013/10/8,181.89,181.99,178.71,178.72,5578300,176.8
2013/10/7,181.85,183.31,181.85,182.01,3966400,180.05
2013/10/4,184.17,185.13,183.58,184.1,2863600,182.12
2013/10/3,184.7,184.96,183,183.86,3211800,181.88
2013/10/2,185.54,186.31,184.41,184.96,3617100,182.97
2013/10/1,185.34,186.65,184.65,186.38,2681200,184.37
2013/9/30,185.56,186.74,184.34,185.18,3978200,183.19
2013/9/27,188.87,188.94,186.45,186.92,3905500,184.91
2013/9/26,190.1,191.76,189.46,190.22,2093600,188.17
2013/9/25,190.14,190.62,188.5,189.47,2654500,187.43
2013/9/24,190.93,191.56,189.66,189.97,3085300,187.93
2013/9/23,190.06,192.41,189.33,190.99,3340800,188.93
2013/9/20,193.96,194.43,190.02,190.02,8525900,187.97
2013/9/19,194.18,194.89,193.22,193.39,3178100,191.31
2013/9/18,192.6,194.89,192,194.42,3841800,192.33
2013/9/17,193.42,194.15,191.83,192.16,2930900,190.09
2013/9/16,193.7,194.81,192.61,193.15,3902400,191.07
2013/9/13,191.21,193.1,191,192.17,3710400,190.1
2013/9/12,190.96,191.32,189.85,190.73,3354800,188.68
2013/9/11,186.83,190.87,186.82,190.7,4962900,188.65
2013/9/10,187.2,187.65,186.37,186.6,3149600,184.59
2013/9/9,183.68,185.49,183.31,184.98,3017200,182.99
2013/9/6,184.65,184.99,182.65,183.03,2903500,181.06
2013/9/5,183.35,185,183.07,184.15,2867600,182.17
2013/9/4,183.58,184.19,182.31,183.13,2597900,181.16
2013/9/3,183.63,184.32,182.51,183.96,3487200,181.98
2013/8/30,182.75,182.99,181.51,182.27,2731000,180.31
2013/8/29,181.96,183.7,181.44,182.64,2980900,180.67
2013/8/28,182.68,183.47,181.1,182.16,3979200,180.2
2013/8/27,183.63,184.5,182.57,182.74,3190700,180.77
2013/8/26,185.27,187,184.68,184.74,2170400,182.75
2013/8/23,185.34,185.74,184.57,185.42,2292700,183.42
2013/8/22,185.65,186.25,184.25,185.19,2354300,183.2
2013/8/21,184.67,186.57,184.28,184.86,3551000,182.87
2013/8/20,184.37,185.63,183.17,184.56,3117800,182.57
2013/8/19,185.3,186.5,183.98,184.23,3248900,182.25
2013/8/16,185.54,186.46,185.34,185.34,3426400,183.34
2013/8/15,186.23,187,185.45,185.79,3692400,183.79
2013/8/14,188.58,188.93,187.3,187.53,2892300,185.51
2013/8/13,189.54,189.99,187.56,188.42,3542900,186.39
2013/8/12,186.97,189.56,186.89,189.09,3026500,187.05
2013/8/9,188,189.16,187,187.82,3249600,185.8
2013/8/8,189.45,189.87,186.79,187.93,4547600,185.91
2013/8/7,189.6,189.93,188.05,188.56,3901700,186.53
2013/8/6,192.26,192.51,190.27,190.99,5938500,187.99
2013/8/5,195.16,195.88,194.35,195.5,2490900,192.43
2013/8/2,195.5,195.5,193.22,195.16,3874000,192.1
2013/8/1,196.65,197.17,195.41,195.81,2877700,192.74
2013/7/31,194.49,196.91,194.49,195.04,3810000,191.98
2013/7/30,196.99,197.83,195.81,196.01,2663200,192.94
2013/7/29,196.83,197.19,195.53,196.21,2113700,193.13
2013/7/26,196.59,197.37,195,197.35,2485100,194.25
2013/7/25,196.3,197.83,195.66,197.22,3014300,194.13
2013/7/24,195.95,197.3,195.86,196.61,2957900,193.53
2013/7/23,194.21,196.43,194.1,194.98,2863800,191.92
2013/7/22,193.4,195.79,193.28,194.09,3398000,191.05
2013/7/19,197.91,197.99,193.24,193.54,6997600,190.5
2013/7/18,198.27,200.94,195.99,197.99,8393400,194.88
2013/7/17,194.72,194.89,193.03,194.55,6868400,191.5
2013/7/16,194.04,194.58,192.68,193.85,3745300,190.81
2013/7/15,192.42,194.89,191.68,194,5674700,190.96
2013/7/12,193.07,193.7,191.59,192.07,4494700,189.06
2013/7/11,193.78,194.11,192.61,192.8,4177500,189.78
2013/7/10,191.51,193.43,191.27,192.25,3892000,189.23
2013/7/9,191.88,192.8,190.78,191.3,5204200,188.3
2013/7/8,195.6,195.78,194.61,194.98,2947500,191.92
2013/7/5,194.49,195.16,192.35,194.93,2405400,191.87
2013/7/3,190.98,194.22,190.51,193.25,1872600,190.22
2013/7/2,190.78,193.23,190.26,191.5,3657700,188.5
2013/7/1,192.15,193.8,191.12,191.28,4442400,188.28
2013/6/28,191.73,192.66,188.41,191.11,10055800,188.11
2013/6/27,196.05,196.9,195.29,195.65,3514200,192.58
2013/6/26,195.97,196.23,194.5,194.86,3320200,191.8
2013/6/25,195.31,195.59,193.15,194.98,3846200,191.92
2013/6/24,193.99,194.91,191.34,193.54,4356200,190.5
2013/6/21,198.5,198.52,193.54,195.46,8914800,192.39
2013/6/20,200.67,201.7,197.28,197.35,4514800,194.25
2013/6/19,204.44,205.03,201.93,201.94,2846100,198.77
2013/6/18,203.02,206.09,202.87,204.87,3277800,201.66
2013/6/17,203.44,205.17,202.55,203.04,3219900,199.86
2013/6/14,203.97,204.74,201.81,202.2,2804500,199.03
2013/6/13,201.01,204.4,200.34,203.77,2899500,200.57
2013/6/12,204.59,205.23,200.51,201.2,3409800,198.04
2013/6/11,203.17,205.95,202.51,203.98,2814400,200.78
2013/6/10,206.97,206.98,204.9,205.02,2652300,201.8
2013/6/7,204.85,206.35,204.11,206.35,2953400,203.11
2013/6/6,203,204.2,201.47,203.8,3679400,200.6
2013/6/5,205.16,206.29,202.4,202.74,4215400,199.56
2013/6/4,208.6,209,205.08,206.19,3598300,202.96
